2024/03/05 01:29:12 loading corpus...
2024/03/05 01:29:12 successfully loaded corpus with 0 records...
2024/03/05 01:29:12 seed directory /home/am6215/syzkaller-alex/workdirs/workdir_7978757ab36487b53cdcabb995f29f3e978a3934/seeds exists
2024/03/05 01:29:12 Read seed : reproducer_1
2024/03/05 01:29:12 serving http on http://127.0.0.1:56747
2024/03/05 01:29:12 serving rpc on tcp://[::]:36229
2024/03/05 01:29:12 booting test machines...
2024/03/05 01:29:12 wait for the connection from test machine...
2024/03/05 01:30:28 machine check:
2024/03/05 01:30:28 syscalls                : 3925/4501
2024/03/05 01:30:28 code coverage           : enabled
2024/03/05 01:30:28 comparison tracing      : enabled
2024/03/05 01:30:28 extra coverage          : enabled
2024/03/05 01:30:28 delay kcov mmap         : mmap returned an invalid pointer
2024/03/05 01:30:28 setuid sandbox          : enabled
2024/03/05 01:30:28 namespace sandbox       : enabled
2024/03/05 01:30:28 Android sandbox         : /sys/fs/selinux/policy does not exist
2024/03/05 01:30:28 fault injection         : enabled
2024/03/05 01:30:28 leak checking           : CONFIG_DEBUG_KMEMLEAK is not enabled
2024/03/05 01:30:28 net packet injection    : enabled
2024/03/05 01:30:28 net device setup        : enabled
2024/03/05 01:30:28 concurrency sanitizer   : /sys/kernel/debug/kcsan does not exist
2024/03/05 01:30:28 devlink PCI setup       : PCI device 0000:00:10.0 is not available
2024/03/05 01:30:28 NIC VF setup            : PCI device 0000:00:11.0 is not available
2024/03/05 01:30:28 USB emulation           : enabled
2024/03/05 01:30:28 hci packet injection    : enabled
2024/03/05 01:30:28 wifi device emulation   : enabled
2024/03/05 01:30:28 802.15.4 emulation      : enabled
2024/03/05 01:30:28 swap file               : enabled
2024/03/05 01:30:28 corpus                  : 0 (deleted 0 broken)
2024/03/05 01:30:28 seeds                   : 1/1
2024/03/05 01:36:52 VMs 4, executed 45852, cover 27016, signal 35120/58400, crashes 0, repro 0, triageQLen 0
2024/03/05 01:37:02 VMs 4, executed 47168, cover 27204, signal 35427/58855, crashes 0, repro 0, triageQLen 0
2024/03/05 01:37:12 VMs 4, executed 48235, cover 27327, signal 35611/60656, crashes 0, repro 0, triageQLen 0
2024/03/05 01:37:22 VMs 4, executed 49517, cover 27527, signal 35940/60912, crashes 0, repro 0, triageQLen 0
2024/03/05 01:37:32 VMs 4, executed 50729, cover 27563, signal 35999/61984, crashes 0, repro 0, triageQLen 0
2024/03/05 01:37:42 VMs 4, executed 51703, cover 27781, signal 36287/62259, crashes 0, repro 0, triageQLen 0
2024/03/05 01:37:52 VMs 4, executed 52980, cover 28323, signal 37169/62440, crashes 0, repro 0, triageQLen 0
2024/03/05 01:38:02 VMs 4, executed 54030, cover 28704, signal 37748/62692, crashes 0, repro 0, triageQLen 0
2024/03/05 01:38:12 VMs 4, executed 55051, cover 29062, signal 38218/62840, crashes 0, repro 0, triageQLen 0
2024/03/05 01:38:22 VMs 4, executed 56238, cover 29316, signal 38443/62917, crashes 0, repro 0, triageQLen 0
2024/03/05 01:38:32 VMs 4, executed 57833, cover 29849, signal 39219/63079, crashes 0, repro 0, triageQLen 0
2024/03/05 01:38:42 VMs 4, executed 59011, cover 32194, signal 42075/63195, crashes 0, repro 0, triageQLen 0
2024/03/05 01:38:52 VMs 4, executed 60147, cover 32319, signal 42427/63380, crashes 0, repro 0, triageQLen 0
2024/03/05 01:39:02 VMs 4, executed 61010, cover 32643, signal 42877/64777, crashes 0, repro 0, triageQLen 0
2024/03/05 01:39:12 VMs 4, executed 61770, cover 32693, signal 42962/65041, crashes 0, repro 0, triageQLen 0
2024/03/05 01:39:22 VMs 4, executed 62784, cover 32815, signal 43142/65137, crashes 0, repro 0, triageQLen 0
2024/03/05 01:39:32 VMs 4, executed 63752, cover 33036, signal 43491/65246, crashes 0, repro 0, triageQLen 0
2024/03/05 01:39:42 VMs 4, executed 64535, cover 33096, signal 43629/65376, crashes 0, repro 0, triageQLen 0
2024/03/05 01:39:52 VMs 4, executed 65407, cover 33191, signal 43767/65450, crashes 0, repro 0, triageQLen 0
2024/03/05 01:40:02 VMs 4, executed 66124, cover 33580, signal 44261/65530, crashes 0, repro 0, triageQLen 0
2024/03/05 01:40:12 VMs 4, executed 66957, cover 33723, signal 44471/65605, crashes 0, repro 0, triageQLen 0
2024/03/05 01:40:22 VMs 4, executed 67846, cover 33840, signal 44641/65873, crashes 0, repro 0, triageQLen 0
2024/03/05 01:40:32 VMs 4, executed 68765, cover 36194, signal 47674/66049, crashes 0, repro 0, triageQLen 0
2024/03/05 01:40:42 VMs 4, executed 69605, cover 36407, signal 48129/66123, crashes 0, repro 0, triageQLen 0
2024/03/05 01:40:52 VMs 4, executed 70464, cover 36818, signal 48641/66193, crashes 0, repro 0, triageQLen 0
2024/03/05 01:41:02 VMs 4, executed 71160, cover 36819, signal 48663/66449, crashes 0, repro 0, triageQLen 0
2024/03/05 01:41:12 VMs 4, executed 71870, cover 36819, signal 48665/66703, crashes 0, repro 0, triageQLen 0
2024/03/05 01:41:22 VMs 4, executed 72729, cover 36951, signal 48770/67290, crashes 0, repro 0, triageQLen 0
2024/03/05 01:41:32 VMs 4, executed 73518, cover 37005, signal 48875/68089, crashes 0, repro 0, triageQLen 0
2024/03/05 01:41:42 VMs 4, executed 74236, cover 37005, signal 48875/68878, crashes 0, repro 0, triageQLen 0
2024/03/05 01:41:52 VMs 4, executed 75073, cover 37096, signal 49082/69275, crashes 0, repro 0, triageQLen 0
2024/03/05 01:42:02 VMs 4, executed 75804, cover 37107, signal 49109/69522, crashes 0, repro 0, triageQLen 0
2024/03/05 01:42:12 VMs 4, executed 76531, cover 37119, signal 49112/70071, crashes 0, repro 0, triageQLen 0
2024/03/05 01:42:22 VMs 4, executed 77396, cover 37328, signal 49365/70354, crashes 0, repro 0, triageQLen 0
2024/03/05 01:42:32 VMs 4, executed 78213, cover 37353, signal 49401/70701, crashes 0, repro 0, triageQLen 0
2024/03/05 01:42:42 VMs 4, executed 78975, cover 37401, signal 49468/70922, crashes 0, repro 0, triageQLen 0
2024/03/05 01:42:52 VMs 4, executed 79857, cover 37481, signal 49597/71705, crashes 0, repro 0, triageQLen 0
2024/03/05 01:43:02 VMs 4, executed 80559, cover 37623, signal 49818/72085, crashes 0, repro 0, triageQLen 0
2024/03/05 01:43:12 VMs 4, executed 81390, cover 37939, signal 50271/72208, crashes 0, repro 0, triageQLen 0
2024/03/05 01:43:22 VMs 4, executed 82277, cover 38110, signal 50562/72426, crashes 0, repro 0, triageQLen 0
2024/03/05 01:43:32 VMs 4, executed 82985, cover 38238, signal 50782/72513, crashes 0, repro 0, triageQLen 0
2024/03/05 01:43:42 VMs 4, executed 83683, cover 38359, signal 50979/72581, crashes 0, repro 0, triageQLen 0
2024/03/05 01:43:52 VMs 4, executed 84501, cover 38564, signal 51305/72648, crashes 0, repro 0, triageQLen 0
2024/03/05 01:44:02 VMs 4, executed 85246, cover 38993, signal 51884/72765, crashes 0, repro 0, triageQLen 0
2024/03/05 01:44:12 VMs 4, executed 85980, cover 39093, signal 52067/72820, crashes 0, repro 0, triageQLen 0
2024/03/05 01:44:22 VMs 4, executed 86755, cover 39685, signal 52918/72915, crashes 0, repro 0, triageQLen 0
2024/03/05 01:44:32 VMs 4, executed 87661, cover 41516, signal 55218/72984, crashes 0, repro 0, triageQLen 0
2024/03/05 01:44:42 VMs 4, executed 88814, cover 41815, signal 55703/73049, crashes 0, repro 0, triageQLen 0
2024/03/05 01:44:52 VMs 4, executed 89903, cover 42116, signal 56168/73162, crashes 0, repro 0, triageQLen 0
2024/03/05 01:45:02 VMs 4, executed 90606, cover 42251, signal 56384/73250, crashes 0, repro 0, triageQLen 0
2024/03/05 01:45:12 VMs 4, executed 91325, cover 43107, signal 56747/74922, crashes 0, repro 0, triageQLen 0
2024/03/05 01:45:22 VMs 4, executed 92393, cover 44369, signal 58399/75049, crashes 0, repro 0, triageQLen 0
2024/03/05 01:45:32 VMs 4, executed 93534, cover 44479, signal 58861/75135, crashes 0, repro 0, triageQLen 0
2024/03/05 01:45:42 VMs 4, executed 94402, cover 44576, signal 59076/75192, crashes 0, repro 0, triageQLen 0
2024/03/05 01:45:52 VMs 4, executed 95462, cover 44786, signal 59425/75268, crashes 0, repro 0, triageQLen 0
2024/03/05 01:46:02 VMs 4, executed 96749, cover 45034, signal 59777/75330, crashes 0, repro 0, triageQLen 0
2024/03/05 01:46:12 VMs 4, executed 98083, cover 45668, signal 60425/75666, crashes 0, repro 0, triageQLen 0
2024/03/05 01:46:22 VMs 4, executed 99818, cover 45820, signal 60913/75716, crashes 0, repro 0, triageQLen 0
2024/03/05 01:46:32 VMs 4, executed 101374, cover 45997, signal 61203/75787, crashes 0, repro 0, triageQLen 0
2024/03/05 01:46:42 VMs 4, executed 102807, cover 46283, signal 61642/75908, crashes 0, repro 0, triageQLen 0
2024/03/05 01:46:52 VMs 4, executed 104250, cover 46822, signal 62408/76035, crashes 0, repro 0, triageQLen 0
2024/03/05 01:47:02 VMs 4, executed 105373, cover 47367, signal 63135/76422, crashes 0, repro 0, triageQLen 0
