2024/03/05 00:59:26 loading corpus...
2024/03/05 00:59:26 successfully loaded corpus with 0 records...
2024/03/05 00:59:26 seed directory /home/am6215/syzkaller-alex/workdirs/workdir_143483113691b505887ce6a9a4328ca2f17a4425/seeds exists
2024/03/05 00:59:26 Read seed : reproducer_1
2024/03/05 00:59:26 serving http on http://127.0.0.1:56746
2024/03/05 00:59:26 serving rpc on tcp://[::]:35543
2024/03/05 00:59:26 booting test machines...
2024/03/05 00:59:26 wait for the connection from test machine...
2024/03/05 01:00:19 machine check:
2024/03/05 01:00:19 syscalls                : 3931/4501
2024/03/05 01:00:19 code coverage           : enabled
2024/03/05 01:00:19 comparison tracing      : enabled
2024/03/05 01:00:19 extra coverage          : enabled
2024/03/05 01:00:19 delay kcov mmap         : enabled
2024/03/05 01:00:19 setuid sandbox          : enabled
2024/03/05 01:00:19 namespace sandbox       : enabled
2024/03/05 01:00:19 Android sandbox         : /sys/fs/selinux/policy does not exist
2024/03/05 01:00:19 fault injection         : enabled
2024/03/05 01:00:19 leak checking           : CONFIG_DEBUG_KMEMLEAK is not enabled
2024/03/05 01:00:19 net packet injection    : enabled
2024/03/05 01:00:19 net device setup        : enabled
2024/03/05 01:00:19 concurrency sanitizer   : /sys/kernel/debug/kcsan does not exist
2024/03/05 01:00:19 devlink PCI setup       : PCI device 0000:00:10.0 is not available
2024/03/05 01:00:19 NIC VF setup            : PCI device 0000:00:11.0 is not available
2024/03/05 01:00:19 USB emulation           : enabled
2024/03/05 01:00:19 hci packet injection    : enabled
2024/03/05 01:00:19 wifi device emulation   : enabled
2024/03/05 01:00:19 802.15.4 emulation      : enabled
2024/03/05 01:00:19 swap file               : enabled
2024/03/05 01:00:19 corpus                  : 0 (deleted 0 broken)
2024/03/05 01:00:19 seeds                   : 1/1
2024/03/05 01:06:46 VMs 4, executed 63018, cover 36426, signal 47870/62212, crashes 0, repro 0, triageQLen 0
2024/03/05 01:06:56 VMs 4, executed 63871, cover 36492, signal 48023/63906, crashes 0, repro 0, triageQLen 0
2024/03/05 01:07:06 VMs 4, executed 64892, cover 36585, signal 48182/64561, crashes 0, repro 0, triageQLen 0
2024/03/05 01:07:16 VMs 4, executed 65591, cover 36893, signal 48587/65079, crashes 0, repro 0, triageQLen 0
2024/03/05 01:07:26 VMs 4, executed 66268, cover 36999, signal 48772/65284, crashes 0, repro 0, triageQLen 0
2024/03/05 01:07:36 VMs 4, executed 67068, cover 37107, signal 48945/65573, crashes 0, repro 0, triageQLen 0
2024/03/05 01:07:46 VMs 4, executed 67682, cover 37219, signal 49118/65976, crashes 0, repro 0, triageQLen 0
2024/03/05 01:07:56 VMs 4, executed 68315, cover 37468, signal 49457/66881, crashes 0, repro 0, triageQLen 0
2024/03/05 01:08:06 VMs 4, executed 68927, cover 37547, signal 49572/67524, crashes 0, repro 0, triageQLen 0
2024/03/05 01:08:16 VMs 4, executed 69364, cover 37747, signal 49823/67862, crashes 0, repro 0, triageQLen 0
2024/03/05 01:08:26 VMs 4, executed 69614, cover 37769, signal 49850/68068, crashes 0, repro 0, triageQLen 0
2024/03/05 01:08:36 VMs 4, executed 69932, cover 37810, signal 49921/68181, crashes 0, repro 0, triageQLen 0
2024/03/05 01:08:46 VMs 4, executed 70368, cover 37861, signal 49998/68424, crashes 0, repro 0, triageQLen 0
2024/03/05 01:08:56 VMs 4, executed 70861, cover 38041, signal 50241/68762, crashes 0, repro 0, triageQLen 0
2024/03/05 01:09:06 VMs 4, executed 71613, cover 38122, signal 50364/69099, crashes 0, repro 0, triageQLen 0
2024/03/05 01:09:16 VMs 4, executed 72251, cover 38308, signal 50608/69292, crashes 0, repro 0, triageQLen 0
2024/03/05 01:09:26 VMs 4, executed 72833, cover 38364, signal 50714/69473, crashes 0, repro 0, triageQLen 0
2024/03/05 01:09:36 VMs 4, executed 73501, cover 38501, signal 50904/69708, crashes 0, repro 0, triageQLen 0
2024/03/05 01:09:46 VMs 4, executed 73935, cover 39218, signal 51819/70682, crashes 0, repro 0, triageQLen 0
2024/03/05 01:09:56 VMs 4, executed 74369, cover 39437, signal 52292/70764, crashes 0, repro 0, triageQLen 0
2024/03/05 01:10:06 VMs 4, executed 75174, cover 39566, signal 52483/70853, crashes 0, repro 0, triageQLen 0
2024/03/05 01:10:16 VMs 4, executed 75995, cover 39778, signal 52831/71065, crashes 0, repro 0, triageQLen 0
2024/03/05 01:10:26 VMs 4, executed 76454, cover 39817, signal 52891/71102, crashes 0, repro 0, triageQLen 0
2024/03/05 01:10:36 VMs 4, executed 77370, cover 39869, signal 52983/71176, crashes 0, repro 0, triageQLen 0
2024/03/05 01:10:46 VMs 4, executed 78153, cover 39995, signal 53153/71257, crashes 0, repro 0, triageQLen 0
2024/03/05 01:10:56 VMs 4, executed 78977, cover 40114, signal 53337/71331, crashes 0, repro 0, triageQLen 0
2024/03/05 01:11:06 VMs 4, executed 79915, cover 40329, signal 53671/71634, crashes 0, repro 0, triageQLen 0
2024/03/05 01:11:16 VMs 4, executed 80619, cover 40389, signal 53719/71688, crashes 0, repro 0, triageQLen 0
2024/03/05 01:11:26 VMs 4, executed 81268, cover 40412, signal 53721/71742, crashes 0, repro 0, triageQLen 0
2024/03/05 01:11:36 VMs 4, executed 82188, cover 40412, signal 53723/71789, crashes 0, repro 0, triageQLen 0
2024/03/05 01:11:46 VMs 4, executed 82893, cover 40412, signal 53727/71835, crashes 0, repro 0, triageQLen 0
2024/03/05 01:11:56 VMs 4, executed 83615, cover 40418, signal 53741/71872, crashes 0, repro 0, triageQLen 0
2024/03/05 01:12:06 VMs 4, executed 84660, cover 40452, signal 53803/71937, crashes 0, repro 0, triageQLen 0
2024/03/05 01:12:16 VMs 4, executed 85454, cover 40779, signal 54297/72025, crashes 0, repro 0, triageQLen 0
2024/03/05 01:12:26 VMs 4, executed 86251, cover 40798, signal 54384/72111, crashes 0, repro 0, triageQLen 0
2024/03/05 01:12:36 VMs 4, executed 87359, cover 40861, signal 54462/72175, crashes 0, repro 0, triageQLen 0
2024/03/05 01:12:46 VMs 4, executed 88295, cover 41033, signal 54694/72277, crashes 0, repro 0, triageQLen 0
2024/03/05 01:12:56 VMs 4, executed 89280, cover 41033, signal 54694/73120, crashes 0, repro 0, triageQLen 0
2024/03/05 01:13:06 VMs 4, executed 90387, cover 41033, signal 54694/73838, crashes 0, repro 0, triageQLen 0
2024/03/05 01:13:16 VMs 4, executed 91013, cover 41033, signal 54694/75048, crashes 0, repro 0, triageQLen 0
2024/03/05 01:13:26 VMs 4, executed 91807, cover 41033, signal 54707/75699, crashes 0, repro 0, triageQLen 0
2024/03/05 01:13:36 VMs 4, executed 93120, cover 41033, signal 54707/77966, crashes 0, repro 0, triageQLen 0
2024/03/05 01:13:46 VMs 4, executed 94074, cover 41178, signal 54915/78309, crashes 0, repro 0, triageQLen 0
2024/03/05 01:13:56 VMs 4, executed 95113, cover 43091, signal 57160/78566, crashes 0, repro 0, triageQLen 0
2024/03/05 01:14:06 VMs 4, executed 96556, cover 43173, signal 57299/78624, crashes 0, repro 0, triageQLen 0
2024/03/05 01:14:16 VMs 4, executed 97468, cover 43354, signal 57544/78700, crashes 0, repro 0, triageQLen 0
